                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90831,                 2.5532,                 1.1022,                0.77752,                0.74874,                0.81448,                 0.6155,                0.89734,                0.94338,                 1.0862,              0.0033306,              0.0033306,              0.0033306
                      2,                0.90825,                 1.1491,                 1.0934,                0.82049,                0.79453,                 0.8529,                0.62359,                0.98786,                0.94757,                  1.175,               0.006598,               0.006598,               0.006598
                      3,                0.96475,                 1.1582,                 1.1347,                0.78446,                 0.7397,                0.80788,                0.59665,                0.95695,                  1.073,                 1.1696,              0.0097994,              0.0097994,              0.0097994
                      4,                0.99059,                 1.1741,                 1.1597,                0.83416,                 0.7903,                0.86821,                 0.6556,                0.90563,                0.82983,                 1.1167,               0.009703,               0.009703,               0.009703
                      5,                0.95442,                 1.0081,                  1.136,                0.89503,                 0.8409,                0.90588,                0.68497,                0.89384,                0.72543,                 1.1108,               0.009703,               0.009703,               0.009703
                      6,                0.92146,                0.90048,                 1.1159,                0.89839,                0.86105,                0.91164,                0.69445,                0.88333,                0.64037,                 1.1241,               0.009604,               0.009604,               0.009604
                      7,                0.89217,                0.82823,                 1.1041,                0.90722,                0.89021,                0.92613,                0.72004,                0.82212,                0.58488,                 1.0811,               0.009505,               0.009505,               0.009505
                      8,                0.87628,                0.79399,                  1.097,                0.91372,                0.88082,                0.93434,                0.73176,                0.79994,                0.55342,                 1.0613,               0.009406,               0.009406,               0.009406
                      9,                0.85879,                  0.734,                 1.0859,                0.90442,                0.88767,                0.93592,                0.73584,                0.80739,                 0.5371,                 1.0786,               0.009307,               0.009307,               0.009307
                     10,                0.83585,                0.70318,                 1.0742,                0.92854,                0.89972,                0.94434,                0.74582,                0.77765,                0.49546,                 1.0506,               0.009208,               0.009208,               0.009208
                     11,                0.83274,                0.68813,                 1.0707,                 0.9294,                0.90301,                0.94124,                0.74509,                0.77218,                0.49756,                 1.0469,               0.009109,               0.009109,               0.009109
                     12,                 0.8227,                0.66117,                 1.0678,                0.92376,                0.91233,                0.94819,                0.75703,                0.75472,                0.45135,                 1.0373,                0.00901,                0.00901,                0.00901
                     13,                0.81163,                0.63141,                 1.0558,                0.93589,                0.91766,                0.95706,                0.76206,                0.75913,                0.44458,                  1.028,               0.008911,               0.008911,               0.008911
                     14,                0.79585,                0.61537,                 1.0542,                0.95347,                0.90866,                0.95543,                0.76858,                0.74063,                0.43647,                  1.032,               0.008812,               0.008812,               0.008812
                     15,                0.79342,                0.60765,                 1.0492,                0.95219,                0.91835,                0.95694,                0.77016,                0.73551,                0.42461,                 1.0262,               0.008713,               0.008713,               0.008713
                     16,                0.78184,                0.59279,                 1.0418,                0.93113,                0.93018,                0.95837,                0.77565,                0.73264,                 0.4119,                 1.0095,               0.008614,               0.008614,               0.008614
                     17,                0.78133,                0.58382,                 1.0452,                0.95504,                0.91868,                0.95721,                 0.7762,                 0.7255,                0.40443,                 1.0072,               0.008515,               0.008515,               0.008515
                     18,                0.77053,                0.56907,                 1.0401,                0.95494,                0.92139,                0.95801,                0.78121,                0.71562,                0.38876,                  1.014,               0.008416,               0.008416,               0.008416
